John,Cryer,94361
Douglas,Carswell,84245
Roberta,Blackman-Woods,222158
Stephen,Mosley,108989
Paul,Goggins,186904
Christopher,Chope,824293
Lindsay,Hoyle,270280
Jim,Dowd,72931
Mr,Speaker-Elect,68530
Joan,Ruddock,171150
Charles,Walker,125897
Alec,Shelbrooke,174616
Alok,Sharma,84896
Andrew,Miller,117018
Karl,McCartney,50241
Tessa,Jowell,121882
Russell,Brown,105875
Ian,Austin,88179
Clive,Efford,201486
Jim,McGovern,39029
Thomas,Docherty,338650
David,Mundell,344407
Stewart,Hosie,428075
Elfyn,Llwyd,285419
Angie,Bray,126186
Ian,Murray,216732
Peter,Soulsby,18770
Keith,Vaz,495645
Hilary,Benn,413802
Eric,Ollerenshaw,158974
Jimmy,Hood,8133
Jeffrey,M,Donaldson,117971
Rachel,Reeves,376465
Greg,Mulholland,152341
Fabian,Hamilton,47093
George,Mudie,92872
Norman,Lamb,119695
Fiona,Bruce,221848
Jamie,Reed,83634
Bob,Russell,345507
Jason,McCartney,114449
Geoffrey,Robinson,173556
Jim,Cunningham,92852
Louise,Bagshawe,78232
Bob,Ainsworth,116008
Henry,Smith,203657
Edward,Timpson,97009
Andrew,Mitchell,319897
Paul,Burstow,509091
Geraint,Davies,276094
Siân,James,15762
Therese,Coffey,205197
Neil,Carmichael,280584
Michael,Gove,786571
Mike,Gapes,214894
Henry,Bellingham,117896
James,Gray,116040
Mike,Weatherley,58444
Barry,Sheerman,255389
George,Osborne,1377909
Bridget,Phillipson,59151
George,Young,1626230
Andrew,Bridgen,232884
Chris,Kelly,41335
Ian,Swales,109810
Steve,Brine,135675
Stephen,Doughty,524
Andrew,Sawford,8036
George,Galloway,942
Lucy,Powell,594
Karen,Lumley,37736
Nicholas,Clegg,668278
Meg,Munn,92739
Nicholas,Dakin,297468
Phil,Wilson,144757
Bill,Esterson,200751
Nigel,Adams,36838
Michael,Fallon,92079
Paul,Blomfield,154090
Clive,Betts,247625
David,Blunkett,123608
Michael,Fabricant,1301
Andrew,Griffiths,107121
Gordon,Birtwistle,90199
John,Bercow,1051265
Anna,Soubry,240106
Wayne,David,379670
David,Ruffley,140258
Ivan,Lewis,88694
David,Nuttall,601244
Craig,Whittaker,61914
John,Thurso,105600
Frank,Doran,98866
Anne,Begg,245484
Hywel,Francis,16408
Guto,Bebb,188783
Jonathan,Evans,72557
Alun,Michael,165215
Julian,Brazier,129253
Jennifer,Willott,118227
Julian,Huppert,430514
Aidan,Burley,147845
Harriet,Harman,206833
George,Eustice,108103
Kevin,Brennan,237391
John,Stevenson,79936
Stella,Creasy,350665
Valerie,Vaz,173561
David,Winnick,216483
Angela,Eagle,549532
Mary,Creagh,214425
Kate,Hoey,112755
Alun,Cairns,166909
Chris,Ruane,186891
John,Randall,195
David,Simpson,86972
Theresa,May,1377787
Helen,Grant,118201
Justine,Greening,686885
Heidi,Alexander,211187
Rob,Wilson,109387
Andy,Burnham,649776
Eleanor,Laing,257555
David,Burrowes,179841
Crispin,Blunt,362361
Chris,Bryant,1069512
Nigel,Evans,246416
William,Hague,1651136
Nick,de,Bois,158164
Michael,Connarty,395652
Alistair,Darling,164290
Helen,Goodman,220796
Andrew,Love,171426
Michael,Crockart,81975
John,Leech,113197
John,Hemming,259456
Alan,Meale,24416
Peter,Luff,124358
Nicholas,Soames,115538
George,Freeman,117370
Annette,Brooke,179921
Pauline,Latham,96222
Nadine,Dorries,132843
Dai,Havard,44933
Caroline,Spelman,301904
George,Hollingbery,107096
Liam,Byrne,411979
Roger,Godsiff,41098
Anne,Main,113518
Stephen,Gilbert,192185
Alan,Whitehead,212240
David,Amess,233507
John,Pugh,191734
Kwasi,Kwarteng,99301
Elizabeth,Truss,120714
Jeremy,Hunt,307375
Andrew,Murrison,123578
John,Denham,279883
David,Davies,137769
Paul,Beresford,166188
Siobhain,McDonagh,145576
Iain,Stewart,222522
Mark,Lancaster,196158
David,Hamilton,45502
Tom,Blenkinsop,214229
Stuart,Bell,79910
Gregory,Barker,314501
Adam,Afriyie,93610
Angus,Robertson,127365
Glyn,Davies,100079
Chloe,Smith,202991
Simon,Wright,34117
Lee,Scott,34868
Julie,Elliott,63306
Jonathan,Djanogly,412691
Graham,Jones,196002
Michael,Ellis,150792
Dominic,Grieve,220634
Jane,Ellison,164039
Richard,Fuller,281229
Bob,Stewart,213195
John,Mann,275391
Menzies,Campbell,113920
Mike,Wood,18617
Don,Foster,163617
Francis,Maude,334722
Mark,Spencer,94219
Nigel,Dodds,323847
Naomi,Long,191539
Christopher,Pincher,173526
Esther,McVey,106852
Alison,McGovern,213773
David,Ward,129613
Gerry,Sutcliffe,87148
John,Redwood,419074
Angela,Watkinson,1780
David,Cameron,2761920
Priti,Patel,304189
Joe,Benton,1060
Mark,Simmonds,70369
Pat,McFadden,125536
Emma,Reynolds,229607
Conor,Burns,61661
Phillip,Lee,127610
David,Tredinnick,70582
Tobias,Ellwood,302786
Gerald,Howarth,44605
Dan,Rogerson,195772
Nick,Harvey,221967
Chris,Williamson,237368
Andrew,Gwynne,137215
Sarah,Wollaston,140185
David,Lammy,230746
Paul,Murphy,105394
Claire,Perry,202763
Rosie,Winterton,83820
Caroline,Flint,448011
Charlie,Elphicke,506900
Edward,Miliband,580194
Vincent,Cable,616321
Alan,Campbell,33154
Robert,Halfon,358549
Andrew,Jones,44314
Alan,Keen,1510
Linda,Riordan,16133
David,Davis,160767
Meg,Hillier,249139
James,Morris,153029
Glenda,Jackson,106790
Edward,Garnier,126017
Derek,Twigg,153315
Andy,Slaughter,467130
Malcolm,Wicks,141111
Gavin,Barwell,214543
Gregg,McClymont,133323
Richard,Ottaway,207731
Jon,Cruddas,70732
Ann,Clwyd,171793
Gareth,Johnson,67464
Jenny,Chapman,128973
David,Hanson,526629
Chris,Heaton-Harris,309777
Eric,Pickles,371796
Dan,Byles,109073
Mary,Glindon,86041
Jeremy,Wright,83557
Kris,Hopkins,79918
Emily,Thornberry,87912
Jeremy,Corbyn,441247
Jacob,Rees-Mogg,661013
Chris,Evans,157197
Danny,Alexander,510075
David,Cairns,25566
Andrew,Turner,83074
Owen,Paterson,260933
Chris,Grayling,549856
Jessica,Lee,95203
Seema,Malhotra,61148
Iain,McKenzie,39539
Dan,Jarvis,126923
Debbie,Abrahams,131742
Jonathan,Ashworth,92743
Albert,Owen,159493
David,Laws,47270
Julian,Sturdy,128975
Hugh,Bayley,186615
Jack,Lopresti,95093
Brian,Binley,171488
Lorely,Burt,194801
Fiona,Mactaggart,213343
Stephen,Phillips,244194
Julian,Smith,116873
Gordon,Henderson,102876
Daniel,Kawczynski,40028
Philip,Davies,716006
James,Arbuthnot,102798
Stephen,Barclay,90119
Natascha,Engel,94223
Kevan,Jones,647499
Alistair,Burt,350012
Robert,Walter,89130
Lady,Hermon,11576
William,McCrea,128053
David,Heath,526528
Shailesh,Vara,6631
Pat,Glass,168257
Simon,Reevell,57069
Mel,Stride,135937
Brian,H,Donohoe,84208
Mark,Williams,150881
Daniel,Poulter,198643
Dennis,Skinner,71114
Jonathan,Edwards,244488
Rebecca,Harris,66323
Tom,Brake,319979
Nick,Smith,141083
David,Anderson,236145
Ronnie,Campbell,30224
Nick,Gibb,402042
Jack,Straw,318395
Stephen,Dorrell,122353
Paul,Maynard,202580
Gordon,Marsden,111591
Lisa,Nandy,140918
Stephen,Hammond,102055
Matthew,Hancock,303051
Lyn,Brown,104634
Rosie,Cooper,88422
Tim,Farron,58774
John,Penrose,93224
Harriett,Baldwin,186245
Karen,Buck,172235
Sheryll,Murray,103078
Lindsay,Roy,30809
Louise,Ellman,183661
Stephen,Twigg,221917
Luciana,Berger,250079
Nia,Griffith,276282
Graeme,Morrice,117085
Peter,Tapsell,42765
Nicky,Morgan,165355
Kelvin,Hopkins,327628
Anas,Sarwar,91381
Margaret,Curran,113952
Ann,McKechin,143538
William,Bain,297954
John,Robertson,128880
Tom,Harris,92650
Ian,Davidson,162378
Stuart,Andrew,148910
Mark,Hendrick,87471
Stephen,Crabb,12947
Mike,Hancock,88534
Penny,Mordaunt,228207
Jim,Fitzpatrick,191318
Robert,Syms,123236
Owen,Smith,231495
Oliver,Colvile,149318
Alison,Seabeck,260828
Alex,Cunningham,289084
Ann,Coffey,62119
Jeremy,Lefroy,148680
Andrew,George,342017
Shaun,Woodward,57698
Dave,Watts,71289
Anne,McGuire,162490
Stephen,McPartland,46514
Jonathan,Reynolds,142759
Karen,Bradley,66099
Simon,Hart,168005
David,Crausby,35634
Nicola,Blackwood,166052
Jim,Sheridan,58150
Jo,Johnson,83942
Andrew,Smith,38577
Angela,Smith,318322
Rory,Stewart,176301
Douglas,Alexander,480955
Andrew,Stephenson,141764
Pete,Wishart,295462
Stewart,Jackson,227845
Tracey,Crouch,113971
Graham,Stringer,112481
Kevin,Barron,131844
Denis,MacShane,470168
Charles,Kennedy,45178
Jake,Berry,79246
Andrew,Rosindell,72320
Caroline,Nokes,98516
Mark,Reckless,235903
James,Duddridge,16427
Zac,Goldsmith,119902
Simon,Danczuk,62671
David,Heyes,5500
David,Lidington,775264
Sandra,Osborne,92924
Tony,Baldry,404416
Eilidh,Whiteford,188368
Margaret,Hodge,90332
Eric,Illsley,5204
Michael,Dugher,47222
John,Woodcock,174261
John,Baron,201191
Andrew,Percy,389489
Ian,Liddell-Grainger,33743
Brooks,Newmark,11894
Sarah,Teather,129724
Roger,Williams,80255
Mary,Macleod,162946
Barry,Gardiner,272401
Madeleine,Moon,140324
Maria,Miller,374860
Stephen,Hepburn,19365
Bill,Wiggin,9922
Anne,McIntosh,177200
Mark,Pritchard,71491
Jackie,Doyle-Price,164959
Steve,Webb,409144
David,Wright,51671
Jeremy,Browne,177672
Geoffrey,Clifton-Brown,145400
Laurence,Robertson,55746
John,Stanley,24743
Neil,Parish,139559
Sheila,Gilmore,413361
Mark,Lazarowicz,248902
Greg,Knight,115604
Stephen,Lloyd,145740
Christopher,Huhne,545351
Stephen,O'Brien,110718
Fiona,O'Donnell,121645
Jim,Murphy,195861
Sam,Gyimah,75827
Tim,Loughton,286075
Diane,Abbott,128179
Anne,Milton,244344
Caroline,Dinenage,88013
Malcolm,Bruce,201679
Nicholas,Boles,129884
Martin,Caton,54432
Austin,Mitchell,197246
Adam,Holloway,11413
Nick,Raynsford,233497
Brandon,Lewis,225005
Anne-Marie,Morris,103317
Jonathan,Lord,40103
